ativo;fractal;contexto;hora_inicio;hora_fim;arquivos_base;linhas_base;detalhe;status
WDO;SEMANAL;ABERTURA;09:00;10:30;10;890;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;SEMANAL;MEIO_PREGAO;10:31;15:30;10;890;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;SEMANAL;FECHAMENTO;15:31;18:00;10;890;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;SEMANAL;ALTA_VOLATILIDADE;N/D;N/D;10;890;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;SEMANAL;BAIXA_VOLATILIDADE;N/D;N/D;10;890;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;ABERTURA;09:00;10:30;5;50000;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;MEIO_PREGAO;10:31;15:30;5;50000;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;FECHAMENTO;15:31;18:00;5;50000;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;ALTA_VOLATILIDADE;N/D;N/D;5;50000;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;BAIXA_VOLATILIDADE;N/D;N/D;5;50000;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;ABERTURA;09:00;10:30;4;56021;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;MEIO_PREGAO;10:31;15:30;4;56021;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;FECHAMENTO;15:31;18:00;4;56021;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;ALTA_VOLATILIDADE;N/D;N/D;4;56021;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;BAIXA_VOLATILIDADE;N/D;N/D;4;56021;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;ABERTURA;09:00;10:30;1;51486;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;MEIO_PREGAO;10:31;15:30;1;51486;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;FECHAMENTO;15:31;18:00;1;51486;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;ALTA_VOLATILIDADE;N/D;N/D;1;51486;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;BAIXA_VOLATILIDADE;N/D;N/D;1;51486;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;ABERTURA;09:00;10:30;1;25801;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;MEIO_PREGAO;10:31;15:30;1;25801;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;FECHAMENTO;15:31;18:00;1;25801;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;ALTA_VOLATILIDADE;N/D;N/D;1;25801;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;BAIXA_VOLATILIDADE;N/D;N/D;1;25801;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;ABERTURA;09:00;10:30;7;53483;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;MEIO_PREGAO;10:31;15:30;7;53483;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;FECHAMENTO;15:31;18:00;7;53483;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;ALTA_VOLATILIDADE;N/D;N/D;7;53483;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;BAIXA_VOLATILIDADE;N/D;N/D;7;53483;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;ABERTURA;09:00;10:30;1;17232;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;MEIO_PREGAO;10:31;15:30;1;17232;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;FECHAMENTO;15:31;18:00;1;17232;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;ALTA_VOLATILIDADE;N/D;N/D;1;17232;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;BAIXA_VOLATILIDADE;N/D;N/D;1;17232;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;ABERTURA;09:00;10:30;4;77919;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;MEIO_PREGAO;10:31;15:30;4;77919;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;FECHAMENTO;15:31;18:00;4;77919;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;ALTA_VOLATILIDADE;N/D;N/D;4;77919;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;BAIXA_VOLATILIDADE;N/D;N/D;4;77919;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;ABERTURA;09:00;10:30;8;32545;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;MEIO_PREGAO;10:31;15:30;8;32545;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;FECHAMENTO;15:31;18:00;8;32545;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;ALTA_VOLATILIDADE;N/D;N/D;8;32545;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;BAIXA_VOLATILIDADE;N/D;N/D;8;32545;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;ABERTURA;09:00;10:30;14;5463;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;MEIO_PREGAO;10:31;15:30;14;5463;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;FECHAMENTO;15:31;18:00;14;5463;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;ALTA_VOLATILIDADE;N/D;N/D;14;5463;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;BAIXA_VOLATILIDADE;N/D;N/D;14;5463;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;ABERTURA;09:00;10:30;13;1184;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;MEIO_PREGAO;10:31;15:30;13;1184;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;FECHAMENTO;15:31;18:00;13;1184;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;ALTA_VOLATILIDADE;N/D;N/D;13;1184;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;BAIXA_VOLATILIDADE;N/D;N/D;13;1184;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
