ativo;fractal;contexto;hora_inicio;hora_fim;arquivos_base;linhas_base;detalhe;status
WDO;5_MIN;ALTA_VOLATILIDADE;N/D;N/D;4;78078;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;5_MIN;BAIXA_VOLATILIDADE;N/D;N/D;4;78078;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;ABERTURA;09:00;10:30;8;32648;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;MEIO_PREGAO;10:31;15:30;8;32648;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;FECHAMENTO;15:31;18:00;8;32648;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;ALTA_VOLATILIDADE;N/D;N/D;8;32648;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;BAIXA_VOLATILIDADE;N/D;N/D;8;32648;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;ABERTURA;09:00;10:30;13;4970;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;MEIO_PREGAO;10:31;15:30;13;4970;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;FECHAMENTO;15:31;18:00;13;4970;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;ALTA_VOLATILIDADE;N/D;N/D;13;4970;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;BAIXA_VOLATILIDADE;N/D;N/D;13;4970;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WDO;SEMANAL;ABERTURA;09:00;10:30;10;890;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;SEMANAL;MEIO_PREGAO;10:31;15:30;10;890;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;SEMANAL;FECHAMENTO;15:31;18:00;10;890;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;SEMANAL;ALTA_VOLATILIDADE;N/D;N/D;10;890;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;SEMANAL;BAIXA_VOLATILIDADE;N/D;N/D;10;890;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;ABERTURA;09:00;10:30;7;55297;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;MEIO_PREGAO;10:31;15:30;7;55297;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;FECHAMENTO;15:31;18:00;7;55297;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;ALTA_VOLATILIDADE;N/D;N/D;7;55297;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;10_MIN;BAIXA_VOLATILIDADE;N/D;N/D;7;55297;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;120_MIN;ABERTURA;09:00;10:30;4;1102;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;120_MIN;MEIO_PREGAO;10:31;15:30;4;1102;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;120_MIN;FECHAMENTO;15:31;18:00;4;1102;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;120_MIN;ALTA_VOLATILIDADE;N/D;N/D;4;1102;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;120_MIN;BAIXA_VOLATILIDADE;N/D;N/D;4;1102;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;12_MIN;ABERTURA;09:00;10:30;2;4442;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;12_MIN;MEIO_PREGAO;10:31;15:30;2;4442;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;12_MIN;FECHAMENTO;15:31;18:00;2;4442;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;12_MIN;ALTA_VOLATILIDADE;N/D;N/D;2;4442;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;12_MIN;BAIXA_VOLATILIDADE;N/D;N/D;2;4442;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;ABERTURA;09:00;10:30;6;59584;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;MEIO_PREGAO;10:31;15:30;6;59584;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;FECHAMENTO;15:31;18:00;6;59584;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;ALTA_VOLATILIDADE;N/D;N/D;6;59584;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;15_MIN;BAIXA_VOLATILIDADE;N/D;N/D;6;59584;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;180_MIN;ABERTURA;09:00;10:30;4;918;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;180_MIN;MEIO_PREGAO;10:31;15:30;4;918;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;180_MIN;FECHAMENTO;15:31;18:00;4;918;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;180_MIN;ALTA_VOLATILIDADE;N/D;N/D;4;918;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;180_MIN;BAIXA_VOLATILIDADE;N/D;N/D;4;918;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;ABERTURA;09:00;10:30;1;51486;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;MEIO_PREGAO;10:31;15:30;1;51486;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;FECHAMENTO;15:31;18:00;1;51486;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;ALTA_VOLATILIDADE;N/D;N/D;1;51486;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;1_MIN;BAIXA_VOLATILIDADE;N/D;N/D;1;51486;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;20_MIN;ABERTURA;09:00;10:30;2;2741;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;20_MIN;MEIO_PREGAO;10:31;15:30;2;2741;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;20_MIN;FECHAMENTO;15:31;18:00;2;2741;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;20_MIN;ALTA_VOLATILIDADE;N/D;N/D;2;2741;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;20_MIN;BAIXA_VOLATILIDADE;N/D;N/D;2;2741;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;240_MIN;ABERTURA;09:00;10:30;4;736;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;240_MIN;MEIO_PREGAO;10:31;15:30;4;736;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;240_MIN;FECHAMENTO;15:31;18:00;4;736;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;240_MIN;ALTA_VOLATILIDADE;N/D;N/D;4;736;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;240_MIN;BAIXA_VOLATILIDADE;N/D;N/D;4;736;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;ABERTURA;09:00;10:30;1;25801;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;MEIO_PREGAO;10:31;15:30;1;25801;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;FECHAMENTO;15:31;18:00;1;25801;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;ALTA_VOLATILIDADE;N/D;N/D;1;25801;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;2_MIN;BAIXA_VOLATILIDADE;N/D;N/D;1;25801;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;ABERTURA;09:00;10:30;9;55312;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;MEIO_PREGAO;10:31;15:30;9;55312;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;FECHAMENTO;15:31;18:00;9;55312;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;ALTA_VOLATILIDADE;N/D;N/D;9;55312;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;30_MIN;BAIXA_VOLATILIDADE;N/D;N/D;9;55312;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;ABERTURA;09:00;10:30;1;17232;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;MEIO_PREGAO;10:31;15:30;1;17232;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;FECHAMENTO;15:31;18:00;1;17232;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;ALTA_VOLATILIDADE;N/D;N/D;1;17232;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;3_MIN;BAIXA_VOLATILIDADE;N/D;N/D;1;17232;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;45_MIN;ABERTURA;09:00;10:30;2;1281;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;45_MIN;MEIO_PREGAO;10:31;15:30;2;1281;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;45_MIN;FECHAMENTO;15:31;18:00;2;1281;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;45_MIN;ALTA_VOLATILIDADE;N/D;N/D;2;1281;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;45_MIN;BAIXA_VOLATILIDADE;N/D;N/D;2;1281;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;4_MIN;ABERTURA;09:00;10:30;2;13022;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;4_MIN;MEIO_PREGAO;10:31;15:30;2;13022;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;4_MIN;FECHAMENTO;15:31;18:00;2;13022;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;4_MIN;ALTA_VOLATILIDADE;N/D;N/D;2;13022;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;4_MIN;BAIXA_VOLATILIDADE;N/D;N/D;2;13022;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;ABERTURA;09:00;10:30;6;88270;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;MEIO_PREGAO;10:31;15:30;6;88270;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;FECHAMENTO;15:31;18:00;6;88270;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;ALTA_VOLATILIDADE;N/D;N/D;6;88270;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;5_MIN;BAIXA_VOLATILIDADE;N/D;N/D;6;88270;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;ABERTURA;09:00;10:30;10;33552;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;MEIO_PREGAO;10:31;15:30;10;33552;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;FECHAMENTO;15:31;18:00;10;33552;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;ALTA_VOLATILIDADE;N/D;N/D;10;33552;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;60_MIN;BAIXA_VOLATILIDADE;N/D;N/D;10;33552;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;6_MIN;ABERTURA;09:00;10:30;2;8732;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;6_MIN;MEIO_PREGAO;10:31;15:30;2;8732;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;6_MIN;FECHAMENTO;15:31;18:00;2;8732;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;6_MIN;ALTA_VOLATILIDADE;N/D;N/D;2;8732;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;6_MIN;BAIXA_VOLATILIDADE;N/D;N/D;2;8732;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;7_MIN;ABERTURA;09:00;10:30;3;7580;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;7_MIN;MEIO_PREGAO;10:31;15:30;3;7580;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;7_MIN;FECHAMENTO;15:31;18:00;3;7580;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;7_MIN;ALTA_VOLATILIDADE;N/D;N/D;3;7580;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;7_MIN;BAIXA_VOLATILIDADE;N/D;N/D;3;7580;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;8_MIN;ABERTURA;09:00;10:30;2;6575;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;8_MIN;MEIO_PREGAO;10:31;15:30;2;6575;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;8_MIN;FECHAMENTO;15:31;18:00;2;6575;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;8_MIN;ALTA_VOLATILIDADE;N/D;N/D;2;6575;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;8_MIN;BAIXA_VOLATILIDADE;N/D;N/D;2;6575;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;90_MIN;ABERTURA;09:00;10:30;2;733;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;90_MIN;MEIO_PREGAO;10:31;15:30;2;733;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;90_MIN;FECHAMENTO;15:31;18:00;2;733;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;90_MIN;ALTA_VOLATILIDADE;N/D;N/D;2;733;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;90_MIN;BAIXA_VOLATILIDADE;N/D;N/D;2;733;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;9_MIN;ABERTURA;09:00;10:30;2;5846;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;9_MIN;MEIO_PREGAO;10:31;15:30;2;5846;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;9_MIN;FECHAMENTO;15:31;18:00;2;5846;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;9_MIN;ALTA_VOLATILIDADE;N/D;N/D;2;5846;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;9_MIN;BAIXA_VOLATILIDADE;N/D;N/D;2;5846;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;ABERTURA;09:00;10:30;14;5463;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;MEIO_PREGAO;10:31;15:30;14;5463;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;FECHAMENTO;15:31;18:00;14;5463;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;ALTA_VOLATILIDADE;N/D;N/D;14;5463;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;DIARIO;BAIXA_VOLATILIDADE;N/D;N/D;14;5463;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;ABERTURA;09:00;10:30;13;1184;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;MEIO_PREGAO;10:31;15:30;13;1184;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;FECHAMENTO;15:31;18:00;13;1184;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;ALTA_VOLATILIDADE;N/D;N/D;13;1184;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WIN;SEMANAL;BAIXA_VOLATILIDADE;N/D;N/D;13;1184;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
