arquivo;tipo_problema;gravidade;detalhe
duplicidades_fractais_20260612_200734.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_203011.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_204049.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_204345.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_210109.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
duplicidades_fractais_20260612_210609.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 92b93b6802f6e022d01675e2b8ac54bc
WIN_120min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 015d34105ebe5e880e89f78a31cb62c1
WIN_180min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: e2e0ba42c36bf423e09681c2a33df556
WIN_240min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 58b2f4c50836bf7cec84c464f6ea7f5d
WDO_60MIN_2012_2014.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: f8726aa0ed61bade378127202e3502a3
WDO_60min_2014_2016.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: f8726aa0ed61bade378127202e3502a3
WIN_120min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 015d34105ebe5e880e89f78a31cb62c1
WIN_180min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: e2e0ba42c36bf423e09681c2a33df556
WIN_240min_2026_2026.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 58b2f4c50836bf7cec84c464f6ea7f5d
WINFUT_F_0_Semanal.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 67c73f0bba945e363f81c8e4147a2cd5
WIN_Semanal_2005_2007.csv;HASH_DUPLICADO;MEDIA;Hash duplicado: 67c73f0bba945e363f81c8e4147a2cd5
